,1,2,3,4,5,6,7,8,9,10,11
1,1.0,0.1429722715861697,0.14125004604604868,0.21156970577935297,0.11187501193721279,0.06817934519559032,0.13189216802797213,0.0972655546895289,0.1864713325114061,0.09087605073246628,0.07964268890416709
2,0.1429722715861697,1.0,0.3274124433098083,0.47769684035316773,0.25901474228905447,0.08118175510569992,0.3116011907608525,0.1354729071992324,0.5953192198490832,0.197682322335006,0.14746231829804823
3,0.14125004604604868,0.3274124433098083,1.0,0.5393962701422147,0.2671720526444961,0.11979593133895805,0.38114978431969265,0.20473978852619915,0.49773930428049357,0.20132254907880132,0.21565823768705544
4,0.21156970577935297,0.47769684035316773,0.5393962701422147,1.0,0.34973494570415736,0.1373288070006234,0.4950466064589426,0.25065168370073426,0.7055280878513163,0.28851937826740426,0.25482621270911426
5,0.11187501193721279,0.25901474228905447,0.2671720526444961,0.34973494570415736,1.0,0.0848505478345023,0.27276786639243294,0.15973783415620646,0.33522509664295275,0.1584223365294056,0.1525662895763343
6,0.06817934519559032,0.08118175510569992,0.11979593133895805,0.1373288070006234,0.0848505478345023,1.0,0.11442447344158234,0.09206028410530358,0.11515469092352895,0.06871276249979848,0.09051966594178897
7,0.13189216802797213,0.3116011907608525,0.38114978431969265,0.4950466064589426,0.27276786639243294,0.11442447344158234,1.0,0.21326158102515755,0.4586100236212576,0.21498820678027394,0.23613473999971119
8,0.0972655546895289,0.1354729071992324,0.20473978852619915,0.25065168370073426,0.15973783415620646,0.09206028410530358,0.21326158102515755,1.0,0.19976178957212762,0.1290486441091624,0.16837864477924522
9,0.1864713325114061,0.5953192198490832,0.49773930428049357,0.7055280878513163,0.33522509664295275,0.11515469092352895,0.4586100236212576,0.19976178957212762,1.0,0.2513299225428581,0.20222788932284516
10,0.09087605073246628,0.197682322335006,0.20132254907880132,0.28851937826740426,0.1584223365294056,0.06871276249979848,0.21498820678027394,0.1290486441091624,0.2513299225428581,1.0,0.1304897185649884
11,0.07964268890416709,0.14746231829804823,0.21565823768705544,0.25482621270911426,0.1525662895763343,0.09051966594178897,0.23613473999971119,0.16837864477924522,0.20222788932284516,0.1304897185649884,1.0
