age_code,education_code,ai_knowledge,domain_knowledge,ocup_estudiante,ocup_investigacion,ocup_docencia,ocup_dev,ocup_prof_tech,ocup_prof_otro,ocup_prefiere_no
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
