k,mean_accuracy_cbr,mean_accuracy_baseline,mean_f1_macro_cbr,mean_f1_macro_baseline
1,0.3121693121693122,0.43001443001443007,0.1971743886313592,0.15299831735886935
3,0.33237133237133243,0.43001443001443007,0.18999933423506588,0.15299831735886935
5,0.33285233285233284,0.43001443001443007,0.16602230856598327,0.15299831735886935
7,0.3525733525733526,0.43001443001443007,0.15998963430017885,0.15299831735886935
9,0.3564213564213564,0.43001443001443007,0.15362208380618086,0.15299831735886935
11,0.3771043771043771,0.43001443001443007,0.15734936178779652,0.15299831735886935
15,0.3804713804713805,0.43001443001443007,0.15504825495515193,0.15299831735886935
