k,mean_accuracy_cbr,mean_accuracy_baseline,mean_f1_macro_cbr,mean_f1_macro_baseline
1,0.31794131794131797,0.43001443001443007,0.18418962964107252,0.15299831735886935
3,0.3222703222703222,0.43001443001443007,0.19269156602197252,0.15299831735886935
5,0.3184223184223184,0.43001443001443007,0.19847069828281202,0.15299831735886935
7,0.3150553150553151,0.43001443001443007,0.19715866275834645,0.15299831735886935
9,0.3150553150553151,0.43001443001443007,0.19559231943343197,0.15299831735886935
11,0.31553631553631556,0.43001443001443007,0.19673453660941462,0.15299831735886935
15,0.3179413179413179,0.43001443001443007,0.19683303390143142,0.15299831735886935
