selected_option,n_neighbors,mean_similarity,mean_utility,total_weighted_vote
Opción B,2,0.712277117303063,4.0,5.711413566698523
Opción A,2,0.6733386311804144,3.833333333333333,5.121633793178708
Opción E,1,0.6589438828478054,4.666666666666667,3.0750714532897585
