recommended_method,n_attempts,acceptance_rate_by_attempt,mean_neighbor_similarity,mean_rating_when_accepted
gradcam,33,0.696969696969697,0.5859418700025899,4.391304347826087
saliency,9,0.7777777777777778,0.6692809029305938,3.5714285714285716
anchor,8,0.25,0.5816974804346832,3.0
integrated_gradients,2,0.5,0.6108676315451355,3.0
