selector_id,image_label,model_predicted_class,n_interactions,final_acceptance_rate,mean_final_iteration,mean_rating,mean_acceptance,mean_satisfaction,mean_confidence,mean_understanding
aguila_0031229b7741a1d7,Imagen prueba 3 de 3,Aguila,6,1.0,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.5,3.0,2.8333333333333335
vaca_00e6ccb5516d6bdf,Imagen prueba 1 de 3,Buey,6,1.0,1.6666666666666667,4.333333333333333,4.5,4.5,3.8333333333333335,4.166666666666667
wallaby_008fb78fa0fd8744,Imagen prueba 2 de 3,Wallaby,6,1.0,1.8333333333333333,4.0,4.166666666666667,4.0,4.0,3.5
